date,category
2015-03-1,partly cloudy
2015-03-2,rain
2015-03-3,fine
2015-03-4,partly cloudy
2015-03-5,partly cloudy
2015-03-6,partly cloudy
2015-03-7,partly cloudy
2015-03-8,cloudy
2015-03-9,fine
2015-03-10,cloudy
2015-03-11,partly cloudy
2015-03-12,cloudy
2015-03-13,cloudy
2015-03-14,fine
2015-03-15,cloudy
2015-03-16,rain
2015-03-17,partly cloudy
2015-03-18,partly cloudy
2015-03-19,fine
2015-03-20,partly cloudy
2015-03-21,cloudy
2015-03-22,cloudy
2015-03-23,partly cloudy
2015-03-24,cloudy
2015-03-25,rain
2015-03-26,fine
2015-03-27,fine
2015-03-28,fine
2015-03-29,cloudy
2015-03-30,cloudy
2015-03-31,rain
2015-04-1,rain
2015-04-2,cloudy
2015-04-3,cloudy
2015-04-4,rain
2015-04-5,rain
2015-04-6,partly cloudy
2015-04-7,partly cloudy
2015-04-8,partly cloudy
2015-04-9,partly cloudy
2015-04-10,partly cloudy
2015-04-11,rain
2015-04-12,cloudy
2015-04-13,partly cloudy
2015-04-14,partly cloudy
2015-04-15,partly cloudy
2015-04-16,cloudy
2015-04-17,cloudy
2015-04-18,cloudy
2015-04-19,cloudy
2015-04-20,rain
2015-04-21,rain
2015-04-22,rain
2015-04-23,rain
2015-04-24,partly cloudy
2015-04-25,partly cloudy
2015-04-26,rain
2015-04-27,fine
2015-04-28,fine
2015-04-29,cloudy
2015-04-30,rain
2015-05-1,rain
2015-05-2,rain
2015-05-3,rain
2015-05-4,cloudy
2015-05-5,partly cloudy
2015-05-6,fine
2015-05-7,fine
2015-05-8,fine
2015-05-9,fine
2015-05-10,partly cloudy
2015-05-11,fine
2015-05-12,fine
2015-05-13,partly cloudy
2015-05-14,fine
2015-05-15,partly cloudy
2015-05-16,partly cloudy
2015-05-17,partly cloudy
2015-05-18,cloudy
2015-05-19,cloudy
2015-05-20,cloudy
2015-05-21,partly cloudy
2015-05-22,rain
2015-05-23,rain
2015-05-24,partly cloudy
2015-05-25,cloudy
2015-05-26,partly cloudy
2015-05-27,cloudy
2015-05-28,partly cloudy
2015-05-29,cloudy
2015-05-30,cloudy
2015-05-31,cloudy
2015-06-1,partly cloudy
2015-06-2,fine
2015-06-3,partly cloudy
2015-06-4,partly cloudy
2015-06-5,partly cloudy
2015-06-6,fine
2015-06-7,partly cloudy
2015-06-8,partly cloudy
2015-06-9,cloudy
2015-06-10,cloudy
2015-06-11,rain
