weather,probability,count
From,rain,
rain,41.17647058823529,21
cloudy,25.49019607843137,13
partly cloudy,21.568627450980394,11
fine,11.76470588235294,6
total,100,51
,,
From,cloudy,
rain,18.556701030927837,18
cloudy,37.11340206185567,36
partly cloudy,32.98969072164948,32
fine,11.34020618556701,11
total,100,97
,,
From,partly cloudy,
rain,10.909090909090908,12
cloudy,25.454545454545453,28
partly cloudy,35.45454545454545,39
fine,28.18181818181818,31
total,100,110
,,
From,fine,
rain,1.282051282051282,1
cloudy,25.64102564102564,20
partly cloudy,34.61538461538461,27
fine,38.46153846153847,30
total,100,78
,,
